x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature,geometry,distance_to_city
137000,466000,0,9.278055191,1.254120708,15.0343895,-1.867899537,6.8703022,9.920614319,1174011.625,6.772230625,5.225231647,46.76930237,301.6395874,1102.539063,36.25247955,65.56794739,19.47281469,141.1761932,20214.69417,143.1876984,66.25247955,POINT (137000 466000),5533.38401
136000,467000,0,9.235870361,1.132158279,15.0119257,-1.84895575,6.858414173,9.913020001,1168673.75,6.885930061,5.271642208,46.94862366,300.3953247,1102.539063,36.60240936,65.90855408,19.19171358,140.993103,19945.6598,141.4654999,66.60240936,POINT (136000 467000),6318.255154
138000,465000,0,9.196495056,1.120970845,15.00715446,-1.841940284,6.87241888,9.826755768,1163691.375,6.877306938,5.274270058,47.16025543,299.2073364,1091.210938,36.62203979,65.9232254,18.96567837,141.0516968,19665.78028,139.4225006,66.62203979,POINT (138000 465000),4915.542713
142000,459000,0,9.122141838,0.884657264,14.88040924,-1.802955627,6.821524143,9.905923748,1154283,7.160066605,5.368667603,46.82630157,296.9277649,1113.867188,37.31442261,66.60572815,18.7464835,134.0072937,19254.81109,143.6847992,67.31442261,POINT (142000 459000),2764.940614
141000,460000,0,9.071915627,0.812158763,14.9129858,-1.790606976,6.840459824,9.792692251,1147927.5,7.194906712,5.397570133,47.38407516,295.5134583,1102.539063,37.52157593,66.79985046,18.33781711,136.6421051,18846.6776,137.9273071,67.52157593,POINT (141000 460000),2517.612391
143000,459000,0,8.990437508,0.786486804,14.80573368,-1.770498514,6.837656021,9.713352199,1137617.5,7.244540215,5.40557766,47.03177643,292.8243408,1113.867188,37.57857513,66.85430145,18.2630173,132.576004,18810.39995,141.8838959,67.57857513,POINT (143000 459000),3406.334259
142000,460000,0,8.947387695,0.683877587,14.84486389,-1.757246852,6.850950241,9.62620216,1132170.125,7.313709259,5.449136257,47.62805176,291.7500916,1102.539063,37.88570404,67.14691162,17.83751156,135.311203,18379.71324,135.832901,67.88570404,POINT (142000 460000),3356.845897
144000,458000,0,8.784380913,0.587883532,14.68588543,-1.716295004,6.855871201,9.436060195,1111543.875,7.43803072,5.487119198,47.3764267,286.4968872,1113.867188,38.14953613,67.39787292,17.47187269,129.4131012,17991.83728,139.0263977,68.14953613,POINT (144000 458000),3368.085246
143000,458000,0,8.773934364,0.426186293,14.72157288,-1.703907251,6.845151901,9.456971833,1110222.125,7.599040508,5.561807156,47.86397171,286.4645996,1102.539063,38.65782166,67.89299774,17.12032464,130.9132996,17577.33577,134.2669983,68.65782166,POINT (143000 458000),2605.872798
141000,461000,0,8.736207008,0.400853604,14.82880402,-1.701050401,6.891855717,9.27690913,1105448.125,7.542329311,5.572958946,48.82492447,285.5429688,1079.882813,38.73254395,67.9509964,16.66854164,137.5690002,17185.83506,124.9252014,68.73254395,POINT (141000 461000),3043.735362
146000,457000,0,8.704446793,0.863272905,14.55425262,-1.720243216,6.898664474,9.222935534,1101429.375,7.15999651,5.360607624,46.48401642,283.5276794,1136.523438,37.2562561,66.52016449,17.87358751,124.2826996,18466.35801,148.5834961,67.2562561,POINT (146000 457000),4638.549987
